IN WHICH YEAR ROBOCUP AT HOME WAS FOUNDED, In which year robocup was founded
IN WHICH YEAR ROBOCUP AT HOME WAS FOUNDED, In which year robocup first started
IN WHICH YEAR ROBOCUP AT HOME WAS FOUNDED, When did robocup first start
IN WHICH YEAR ROBOCUP AT HOME WAS FOUNDED, When was robocup founded
WHAT IS YOUR NAME, What is your name
WHAT IS YOUR NAME, Whats your name
WHAT IS YOUR NAME, What your name
WHAT IS YOUR NAME, Can you tell me your name
WHAT IS YOUR NAME, Tell me your name
WHAT IS YOUR TEAMS NAME, What is your team name
WHAT IS YOUR TEAMS NAME, Whats your team name
WHAT IS YOUR TEAMS NAME, What your team name
WHAT IS YOUR TEAMS NAME, Can you tell me your team name
WHAT IS YOUR TEAMS NAME, Tell me your team name
GREETING, Hello
GREETING, Hi
GREETING, Good morning
GREETING, Good evening
GREETING, Good afternoon
MY NAME IS, My name is
WHAT IS MY NAME, What is my name
WHAT WAS THE LAST QUESTION, What was the last question
WHAT WAS THE LAST ANSWER, What was the last answer
WHAT TIME IS IT, What time is it
WHAT TIME IS IT, Tell me what time it is
WHAT TIME IS IT, Tell me current time
WHAT TIME IS IT, Tell me the time
WHAT MONTH IS IT, What month is it
WHAT MONTH IS IT, Tell me what month it is
WHAT MONTH IS IT, Tell me current month
WHAT MONTH IS IT, Tell me the month
WHAT DATE IS IT, What date is it
WHAT DATE IS IT, Tell me what date it is
WHAT DATE IS IT, Tell me current date
WHAT DATE IS IT, Tell me the date
WHAT DAY IS IT, What day is it
WHAT DAY IS IT, Tell me what day it is
WHAT DAY IS IT, Tell me current day
WHAT DAY IS IT, Tell me the day
WHAT YEAR IS IT, What year is it
WHAT YEAR IS IT, Tell me what year it is
WHAT YEAR IS IT, Tell me current year
WHAT YEAR IS IT, Tell me the year
WHICH ROBOT IS USED IN THE OPEN PLATFORM LEAGUE, Which robot is used in the Open Platform League
WHICH ROBOT IS USED IN THE DOMESTIC STANDARD PLATFORM LEAGUE, Which robot is used in the Domestic Standard Platform League
WHICH ROBOT IS USED IN THE SOCIAL STANDARD PLATFROM LEAGUE, Which robot is used in the Social Standard Platform League
IN WHICH CITY WILL NEXT YEARS ROBOCUP BE HOSTED, In which city will next year's RoboCup be hosted
DO YOU HAVE DREAMS, Do you have dreams
WHERE DOES THE TERM COMPUTER BUG COME FROM, Where does the term computer bug come from
WHEN WAS INVENTED THE C PROGRAMMING LANGUAGE, When was invented the C programming language
WHO INVENTED THE C PROGRAMMING LANGUAGE, Who invented the C programming language
WHO INVENTED THE FIRST COMPILER, Who invented the first compiler
WHEN WAS INVENTED THE B PROGRAMMING LANGUAGE, When was invented the B programming language
WHO IS THE EMPEROR OF JAPAN, Who is the emperor of Japan
HOW MANY PEOPLE LIVE IN THE JAPAN, How many people live in the Japan
WHAT IS A SAKURA, What is Sakura
WHAT ARE THE COLOURS OF THE JAPANESE FLAG, What are the colours of the Japanese flag
WHAT CITY IS THE CAPITAL OF THE JAPAN, What city is the capital of the Japan
